date,energy_Wh,clouds,temp,humidity
2025-09-26 20:29:58,4.711,40,28.97,89
2025-09-26 20:30:02,4.711,40,28.97,89
2025-09-26 20:30:06,4.711,40,28.97,89
2025-09-26 20:30:10,4.711,40,28.97,89
2025-09-26 20:30:14,4.711,40,28.97,89
2025-09-26 20:30:18,4.711,40,28.97,89
2025-09-26 20:30:22,4.711,40,28.97,89
2025-09-26 20:30:26,4.711,40,28.97,89
2025-09-26 20:30:30,4.711,40,28.97,89
2025-09-26 20:30:34,4.711,40,28.97,89
2025-09-26 20:30:38,4.711,40,28.97,89
2025-09-26 20:30:42,4.711,40,28.97,89
2025-09-26 20:30:46,4.711,40,28.97,89
2025-09-26 20:30:50,4.711,40,28.97,89
2025-09-26 20:30:54,4.711,40,28.97,89
2025-09-26 20:30:59,4.711,40,28.97,89
2025-09-26 20:31:03,4.711,40,28.97,89
2025-09-26 20:31:07,4.711,40,28.97,89
2025-09-26 20:31:12,4.711,40,28.97,89
2025-09-26 20:31:16,4.711,40,28.97,89
2025-09-26 20:31:20,4.711,40,28.97,89
2025-09-26 20:31:25,4.711,40,28.97,89
2025-09-26 20:31:29,4.711,40,28.97,89
2025-09-26 20:31:33,4.714,40,28.97,89
2025-09-26 20:31:37,4.716,40,28.97,89
2025-09-26 20:31:41,4.717,40,28.97,89
2025-09-26 20:31:45,4.717,40,28.97,89
2025-09-26 20:31:50,4.719,40,28.97,89
2025-09-26 20:31:54,4.721,40,28.97,89
2025-09-26 20:31:57,4.723,40,28.97,89
2025-09-26 20:32:01,4.725,40,28.97,89
2025-09-26 20:32:05,4.725,40,28.97,89
2025-09-26 20:32:10,4.727,40,28.97,89
2025-09-26 20:32:14,4.729,40,28.97,89
2025-09-26 20:32:18,4.731,40,28.97,89
2025-09-26 20:32:23,4.733,40,28.97,89
2025-09-26 20:32:26,4.734,40,28.97,89
2025-09-26 20:32:31,4.734,40,28.97,89
2025-09-26 20:32:35,4.735,40,28.97,89
2025-09-26 20:32:39,4.736,40,28.97,89
2025-09-26 20:32:43,4.737,40,28.97,89
2025-09-26 20:32:48,4.737,40,28.97,89
2025-09-26 20:32:52,4.738,40,28.97,89
2025-09-26 20:32:56,4.738,40,28.97,89
2025-09-26 20:33:00,4.738,40,28.97,89
2025-09-26 20:33:04,4.738,40,28.97,89
2025-09-26 20:33:08,4.738,40,28.97,89
2025-09-26 20:33:12,4.738,40,28.97,89
2025-09-26 20:33:16,4.738,40,28.97,89
2025-09-26 20:33:20,4.738,40,28.97,89
2025-09-26 20:33:25,4.738,40,28.97,89
2025-09-26 20:33:29,4.738,40,28.97,89
2025-09-26 20:33:33,4.738,40,28.97,89
2025-09-26 20:33:37,4.739,40,28.97,89
2025-09-26 20:33:41,4.739,40,28.97,89
2025-09-26 20:33:45,4.74,40,28.97,89
2025-09-26 20:33:49,4.741,40,28.97,89
2025-09-26 20:33:53,4.742,40,28.97,89
2025-09-26 20:33:57,4.743,40,28.97,89
2025-09-26 20:34:01,4.743,40,28.97,89
2025-09-26 20:34:06,4.744,40,28.97,89
2025-09-26 20:34:10,4.744,40,28.97,89
2025-09-26 20:34:14,4.744,40,28.97,89
2025-09-26 20:34:17,4.744,40,28.97,89
2025-09-26 20:34:21,4.744,40,28.97,89
2025-09-26 20:34:25,4.744,40,28.97,89
2025-09-26 20:34:29,4.744,40,28.97,89
2025-09-26 20:34:34,4.744,40,28.97,89
2025-09-26 20:34:38,4.744,40,28.97,89
2025-09-26 20:34:42,4.744,40,28.97,89
2025-09-26 20:34:46,4.744,40,28.97,89
2025-09-26 20:34:50,4.744,40,28.97,89
2025-09-26 20:34:54,4.744,40,28.97,89
2025-09-26 20:34:58,4.744,40,28.97,89
2025-09-26 20:35:02,4.744,40,28.97,89
2025-09-26 20:35:06,4.744,40,28.97,89
2025-09-26 20:35:10,4.744,40,28.97,89
2025-09-26 20:35:14,4.744,40,28.97,89
2025-09-26 20:35:18,4.744,40,28.97,89
2025-09-26 20:35:22,4.744,40,28.97,89
2025-09-26 20:35:26,4.744,40,28.97,89
2025-09-26 20:35:30,4.744,40,28.97,89
2025-09-26 20:35:34,4.744,40,28.97,89
2025-09-26 20:35:38,4.744,40,28.97,89
2025-09-26 20:35:42,4.744,40,28.97,89
2025-09-26 20:35:46,4.744,40,28.97,89
2025-09-26 20:35:50,4.744,40,28.97,89
2025-09-26 20:35:55,4.744,40,28.97,89
2025-09-26 20:35:58,4.744,40,28.97,89
2025-09-26 20:36:02,4.744,40,28.97,89
2025-09-26 20:36:07,4.744,40,28.97,89
2025-09-26 20:36:11,4.746,40,28.97,89
2025-09-26 20:36:15,4.748,40,28.97,89
2025-09-26 20:36:19,4.75,40,28.97,89
2025-09-26 20:36:23,4.75,40,28.97,89
2025-09-26 20:36:27,4.752,40,28.97,89
2025-09-26 20:36:31,4.754,40,28.97,89
2025-09-26 20:36:35,4.756,40,28.97,89
2025-09-26 20:36:39,4.757,40,28.97,89
2025-09-26 20:36:43,4.757,40,28.97,89
2025-09-26 20:36:47,4.76,40,28.97,89
2025-09-26 20:36:52,4.761,40,28.97,89
2025-09-26 20:36:56,4.763,40,28.97,89
2025-09-26 20:37:00,4.764,40,28.97,89
2025-09-26 20:37:04,4.765,40,28.97,89
2025-09-26 20:37:08,4.765,40,28.97,89
2025-09-26 20:37:12,4.766,40,28.97,89
2025-09-26 20:37:16,4.767,40,28.97,89
2025-09-26 20:37:20,4.768,40,28.97,89
2025-09-26 20:37:24,4.768,40,28.97,89
2025-09-26 20:37:29,4.768,40,28.97,89
2025-09-26 20:37:33,4.768,40,28.97,89
2025-09-26 20:37:37,4.768,40,28.97,89
2025-09-26 20:37:41,4.768,40,28.97,89
2025-09-26 20:37:45,4.768,40,28.97,89
2025-09-26 20:37:49,4.768,40,28.97,89
2025-09-26 20:37:53,4.768,40,28.97,89
2025-09-26 20:37:57,4.768,40,28.97,89
2025-09-26 20:38:01,4.769,40,28.97,89
